Study_ID,PDF_File,Citation,Title,Statistical_Method,Alternative_Sampling,Number_of_Variables,Sample_Size_Occasions,Scale_Justification_Provided,Software_Used,Convergence_Issues,Choice_Set_Strategy,Extraction_Notes,Pages_Checked,Extraction_Date,Extracted_By
42,42_biting_once_twice_the_influence_of_prior_on_subs.pdf,"(Lammers et al., 2015)",Biting Once Twice: the Influence of Prior on Subsequent Crim...,,,,,,,,,,,,
43,43_co-offenders_crime_location_choice.pdf,"(Lammers, 2017)",Co-offenders' crime location choice: Do co-offending groups ...,,,,,,,,,,,,
44,44_family_matters_effects_of_family_members_residen.pdf,"(Menting et al., 2016)",Family Matters: Effects of Family Members’ Residential Areas...,,,,,,,,,,,,
45,45_a_time_for_a_crime_temporal_aspects_of_repeat_off.pdf,"(S. E. M. van Sleeuwen et al., 2018)",A Time for a Crime: Temporal Aspects of Repeat Offenders’ Cr...,,,,,,,,,,,,
46,46_a_sentimental_journey_to_crime_effects_of_reside.pdf,"(Bernasco, 2010a)",A Sentimental Journey To Crime : Effects of Residential Hist...,,,,,,,,,,,,
47,47_modeling_micro-level_crime_location_choice_applic.pdf,"(Bernasco, 2010b)",Modeling micro-level crime location choice: Application of t...,,,,,,,,,,,,
48,48_effects_of_residential_history_on_commercial_robbe.pdf,"(Bernasco & Kooistra, 2010)",Effects of Residential history on Commercial Robbers' Crime ...,,,,,,,,,,,,
49,49_formal_evaluation_of_the_impact_of_barriers_and_connectors.pdf,"(Clare et al., 2009)",Formal evaluation of the impact of barriers and connectors o...,,,,,,,,,,,,
50,50_burglar_target_selection_a_cross_national_compari.pdf,"(Townsley et al., 2015)",Burglar Target Selection: A Cross-national Comparison (stati...,,,,,,,,,,,,
51,51_target_selection_models_with_preference_variation.pdf,"(Townsley et al., 2016)",Target Selection Models with Preference Variation Between Of...,,,,,,,,,,,,
